Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Botswana,2022-08-04 20:20:52,-22.3285,24.6849,325470,2770,,,13840.21687131239,,,0.8510769041693551,72,BWA,2143,18
Brazil,2022-08-04 20:20:52,-14.235,-51.9253,33924061,679275,,,15959.802089965351,,,2.002339873165538,76,BRA,1236381,6485
Brunei,2022-08-04 20:20:52,4.5353,114.7277,211157,225,,,48266.33263463952,,,0.1065557855055716,96,BRN,41284,0
Bulgaria,2022-08-04 20:20:52,42.7339,25.4858,1213429,37420,,,17463.317332151295,,,3.083822786500076,100,BGR,37704,157
Burkina Faso,2022-08-04 20:20:52,12.2383,-1.5616,21128,387,,,101.0750562662947,,,1.8316925407042788,854,BFA,84,0
Burma,2022-08-04 20:20:52,21.9162,95.956,614158,19434,,,1128.7636928013364,,,3.164332305367674,104,MMR,463,0
Burundi,2022-08-04 20:20:52,-3.3731,29.9189,46275,38,,,389.16703621065767,,,0.082117774176121,108,BDI,3439,0
Cabo Verde,2022-08-04 20:20:52,16.5388,-23.0418,62184,410,,,11184.414052101843,,,0.6593335906342468,132,CPV,920,3
Cambodia,2022-08-04 20:20:52,11.55,104.9167,136937,3056,,,819.0516031160051,,,2.231683182777481,116,KHM,600,0
Cameroon,2022-08-04 20:20:52,3.848,11.5021,120215,1931,,,452.8577408518329,,,1.6062887326872686,120,CMR,147,0
Canada,2022-08-04 20:20:52,60.001,-95.001,4104183,43024,,,10730.98209104048,,,1.048296335714075,124,CAN,126439,955
Central African Republic,2022-08-04 20:20:52,6.6111,20.9394,14772,113,,,305.85345370912535,,,0.7649607365285676,140,CAF,97,0
Chad,2022-08-04 20:20:52,15.4542,18.7322,7437,193,,,45.276170944849824,,,2.5951324458787144,148,TCD,11,0
Chile,2022-08-04 20:20:52,-35.6751,-71.543,4274613,59698,,,22361.196197425965,,,1.3965708708601223,152,CHL,218305,984
China,2022-08-04 20:20:52,30.5928,114.3055,2280323,14759,,,161.52127534116318,,,0.6472328700802474,156,CHN,124476,122
Colombia,2022-08-04 20:20:52,4.5709,-74.2973,6265798,140845,,,12314.156563924324,,,2.2478381843781112,170,COL,90617,775
Comoros,2022-08-04 20:20:52,-11.6455,43.3333,8329,160,,,957.802195274812,,,1.920998919438108,174,COM,168,0
Congo (Brazzaville),2022-08-04 20:20:52,-0.228,15.8277,24775,386,,,448.97765387021457,,,1.5580221997981836,178,COG,647,1
Congo (Kinshasa),2022-08-04 20:20:52,-4.0383,21.7587,92173,1390,,,102.9159837646136,,,1.508033805995248,180,COD,780,15
Costa Rica,2022-08-04 20:20:52,9.7489,-83.7534,1044385,8740,,,20501.798742627278,,,0.836856140216491,188,CRI,139451,215
Cote d'Ivoire,2022-08-04 20:20:52,7.54,-5.5471,85520,811,,,324.20618861544204,,,0.9483161833489242,384,CIV,1697,6
Croatia,2022-08-04 20:20:52,45.1,15.2,1191079,16365,,,29013.428599545758,,,1.373964279447459,191,HRV,35464,257
Cuba,2022-08-04 20:20:52,21.521757,-77.781167,1108492,8529,,,9786.612347412502,,,0.7694236855114877,192,CUB,2121,0
Cyprus,2022-08-04 20:20:52,35.1264,33.4299,562911,1115,,,46623.25518217004,,,0.1980774936002316,196,CYP,47315,40
Czechia,2022-08-04 20:20:52,49.8175,15.473,3994274,40531,,,37298.353849133375,,,1.014727582534398,203,CZE,56644,206
Denmark,2022-08-04 20:20:52,56.2639,9.5018,3285721,6749,,,56289.20856580015,,,0.2054039280876252,208,DNK,54240,188
Diamond Princess,2022-08-04 20:20:52,,,712,13,,,,,,1.8258426966292132,9999,,0,0
Djibouti,2022-08-04 20:20:52,11.8251,42.5903,15690,189,,,1588.0534654788148,,,1.2045889101338432,262,DJI,0,0
Dominica,2022-08-04 20:20:52,15.415,-61.371,14852,68,,,20630.356572349323,,,0.4578507945057904,212,DMA,0,0
Dominican Republic,2022-08-04 20:20:52,18.7357,-70.1627,631040,4383,,,5817.160623840329,,,0.6945676977687627,214,DOM,17412,0
Ecuador,2022-08-04 20:20:52,-1.8312,-78.1834,973870,35810,,,5519.847464102032,,,3.6770821567560352,218,ECU,58191,63
Egypt,2022-08-04 20:20:52,26.820553,30.802498,515645,24775,,,503.8823551841115,,,4.804662122196472,818,EGY,0,51
El Salvador,2022-08-04 20:20:52,13.7942,-88.8965,190818,4206,,,2941.906980680987,,,2.2041945728390404,222,SLV,21172,52
Equatorial Guinea,2022-08-04 20:20:52,1.6508,10.2679,16741,183,,,1193.2415528319975,,,1.0931246639985663,226,GNQ,550,0
Eritrea,2022-08-04 20:20:52,15.1794,39.7823,10087,103,,,284.42711495259874,,,1.0211162882918607,232,ERI,276,0
Estonia,2022-08-04 20:20:52,58.5953,25.0136,591377,2628,,,44580.44580671959,,,0.4443865757376428,233,EST,9817,29
Eswatini,2022-08-04 20:20:52,-26.5225,31.4659,73290,1417,,,6317.2103254367485,,,1.9334151998908449,748,SWZ,113,1
Ethiopia,2022-08-04 20:20:52,9.145,40.4897,492375,7568,,,428.2877996243385,,,1.537039857831937,231,ETH,2529,20
Fiji,2022-08-04 20:20:52,-17.7134,178.065,67805,874,,,7563.774201177095,,,1.288990487427181,242,FJI,1784,7
Finland,2022-08-04 20:20:52,61.9241,25.7482,1218216,5251,,,21986.608955734617,,,0.4310401439481996,246,FIN,25424,137
France,2022-08-04 20:20:52,46.2276,2.2137,34206647,153497,,,52424.1062158571,,,0.4487344228740104,250,FRA,2156612,2517
Gabon,2022-08-04 20:20:52,-0.8037,11.6094,48511,306,,,2179.556531615723,,,0.6307847704644307,266,GAB,572,1
Gambia,2022-08-04 20:20:52,13.4432,-15.3101,12149,368,,,502.7177961023957,,,3.029055889373611,270,GMB,140,3
Georgia,2022-08-04 20:20:52,42.3154,43.3569,1698020,16869,,,42565.69340778482,,,0.993451196098986,268,GEO,35721,25
Germany,2022-08-04 20:20:52,51.165691,10.451526,31119199,144552,,,37423.110334719255,,,0.4645106707277395,276,DEU,2310585,2925
Ghana,2022-08-04 20:20:52,7.9465,-1.0232,168127,1457,,,541.0719840040911,,,0.866606791294676,288,GHA,1581,5
Greece,2022-08-04 20:20:52,39.0742,21.8243,4474616,31377,,,42929.98137974122,,,0.7012221830878895,300,GRC,700239,1006
Grenada,2022-08-04 20:20:52,12.1165,-61.679,18786,234,,,16695.846923630677,,,1.245608431810923,308,GRD,311,2
Guatemala,2022-08-04 20:20:52,15.7835,-90.2308,1048193,19070,,,5850.73863417217,,,1.8193214417573864,320,GTM,120720,422
Guinea,2022-08-04 20:20:52,9.9456,-9.6966,37408,445,,,284.8442280971175,,,1.189585115483319,324,GIN,285,2
Guinea-Bissau,2022-08-04 20:20:52,11.8037,-15.1804,8440,174,,,428.8622244534801,,,2.061611374407583,624,GNB,49,3
Guyana,2022-08-04 20:20:52,4.860416,-58.93018,69948,1271,,,8892.912038384915,,,1.8170641047635383,328,GUY,2105,13
Haiti,2022-08-04 20:20:52,18.9712,-72.2852,32296,838,,,283.235312715166,,,2.5947485756750064,332,HTI,529,1
Holy See,2022-08-04 20:20:52,41.9029,12.4534,29,0,,,3584.672435105068,,,0.0,336,VAT,0,0
