Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Capital District,Colombia,2022-08-28 08:33:03,4.711,-74.0721,1850184,29782,,,,24960.10153568953,,,1.6096777401598976,17008,COL,,,13987,170
Caqueta,Colombia,2022-08-28 08:33:03,0.8699,-73.8419,25578,1037,,,,6370.78475375415,,,4.054265384314645,17009,COL,,,147,4
Casanare,Colombia,2022-08-28 08:33:03,5.7589,-71.5724,42768,1020,,,,10170.652360025111,,,2.384960718294052,17010,COL,,,322,6
Cauca,Colombia,2022-08-28 08:33:03,2.705,-76.826,76028,1833,,,,5191.438919267348,,,2.4109538591045405,17011,COL,,,712,27
Cesar,Colombia,2022-08-28 08:33:03,9.3373,-73.6536,108605,2679,,,,9046.089620464878,,,2.4667372588739007,17012,COL,,,532,1
Choco,Colombia,2022-08-28 08:33:03,5.2528,-76.826,18826,429,,,,3520.023334692031,,,2.278763412302135,17013,COL,,,45,0
Cordoba,Colombia,2022-08-28 08:33:03,8.0493,-75.574,121870,3948,,,,6828.281085151528,,,3.2395175186674323,17014,COL,,,206,0
Cundinamarca,Colombia,2022-08-28 08:33:03,5.026,-74.03,327357,7353,,,,11214.466300795462,,,2.2461716108102165,17015,COL,,,1606,24
Guainia,Colombia,2022-08-28 08:33:03,2.5854,-68.5247,2790,37,,,,5798.728020950243,,,1.3261648745519714,17016,COL,,,15,0
Guaviare,Colombia,2022-08-28 08:33:03,1.0654,-73.2603,5651,105,,,,6827.600372128989,,,1.8580782162449123,17017,COL,,,23,0
Huila,Colombia,2022-08-28 08:33:03,2.5359,-75.5277,102978,3566,,,,9358.3524326918,,,3.4628755656548003,17018,COL,,,411,21
La Guajira,Colombia,2022-08-28 08:33:03,11.3548,-72.5205,57799,1543,,,,6563.8911601708005,,,2.6695963597986125,17019,COL,,,196,1
Magdalena,Colombia,2022-08-28 08:33:03,10.4113,-74.4057,117311,3643,,,,8743.160031779487,,,3.1054206340411383,17020,COL,,,280,2
Meta,Colombia,2022-08-28 08:33:03,3.272,-73.0877,107262,2581,,,,10316.411502305424,,,2.406257574910033,17021,COL,,,539,15
Narino,Colombia,2022-08-28 08:33:03,1.2892,-77.3579,107530,3372,,,,6594.537444069393,,,3.135869059797266,17022,COL,,,886,36
Norte de Santander,Colombia,2022-08-28 08:33:03,7.9463,-72.8988,124090,5158,,,,8318.758132559802,,,4.156660488355226,17023,COL,,,1073,27
Putumayo,Colombia,2022-08-28 08:33:03,0.436,-75.5277,21723,782,,,,6238.978465285397,,,3.5998711043594347,17024,COL,,,477,5
Quindio,Colombia,2022-08-28 08:33:03,4.461,-75.6674,72636,2073,,,,13453.502844950212,,,2.853956715678176,17025,COL,,,373,8
Risaralda,Colombia,2022-08-28 08:33:03,5.3158,-75.9928,109347,2494,,,,11590.723350939845,,,2.2808124594181827,17026,COL,,,551,18
San Andres y Providencia,Colombia,2022-08-28 08:33:03,12.5567,-81.7185,10328,156,,,,16853.78590078329,,,1.5104570100697134,17027,COL,,,10,1
Santander,Colombia,2022-08-28 08:33:03,6.6437,-73.6536,292970,8288,,,,13409.238309310946,,,2.828958596443322,17028,COL,,,2103,55
Sucre,Colombia,2022-08-28 08:33:03,8.814,-74.7233,66886,1738,,,,7391.837217346714,,,2.5984510958945077,17029,COL,,,84,2
Tolima,Colombia,2022-08-28 08:33:03,4.0925,-75.1545,126790,4061,,,,9531.742529433832,,,3.2029339853300733,17030,COL,,,411,20
Unknown,Colombia,2022-08-28 08:33:03,,,0,300,,,,,,,,17034,COL,,,0,0
Valle del Cauca,Colombia,2022-08-28 08:33:03,3.8009,-76.6413,563052,15310,,,,12579.67696228188,,,2.719109425061984,17031,COL,,,2283,80
Vaupes,Colombia,2022-08-28 08:33:03,0.8554,-70.812,1949,22,,,,4777.312057259112,,,1.128783991790662,17032,COL,,,41,0
Vichada,Colombia,2022-08-28 08:33:03,4.4234,-69.2878,3451,63,,,,3201.061145740576,,,1.8255578093306288,17033,COL,,,12,0
Faroe Islands,Denmark,2022-08-28 08:33:03,61.8926,-6.9118,34658,28,,,,70926.02066919062,,,0.0807894281262623,234,FRO,,,0,0
Greenland,Denmark,2022-08-28 08:33:03,71.7069,-42.6043,11971,21,,,,21086.09878108927,,,0.1754239411912121,304,GRL,,,0,0
French Guiana,France,2022-08-28 08:33:03,4.0,-53.0,93586,408,,,,31332.989600980305,,,0.4359626439852114,254,GUF,,,1011,4
French Polynesia,France,2022-08-28 08:33:03,-17.6797,-149.4068,76415,649,,,,27203.24381283285,,,0.8493096905057907,258,PYF,,,1158,0
Guadeloupe,France,2022-08-28 08:33:03,16.265,-61.551,190054,978,,,,47498.41925188753,,,0.5145905900428299,312,GLP,,,7036,13
Martinique,France,2022-08-28 08:33:03,14.6415,-61.0242,213889,1009,,,,56996.78893581869,,,0.4717400146805118,474,MTQ,,,4031,17
Mayotte,France,2022-08-28 08:33:03,-12.8275,45.166244,40004,187,,,,14663.524098924903,,,0.4674532546745325,175,MYT,,,1358,0
New Caledonia,France,2022-08-28 08:33:03,-20.904305,165.618042,73633,314,,,,25791.706218409687,,,0.4264392324093816,540,NCL,,,3837,0
Reunion,France,2022-08-28 08:33:03,-21.1151,55.5364,460376,861,,,,51420.9635119981,,,0.1870210436686534,638,REU,,,25452,29
Saint Barthelemy,France,2022-08-28 08:33:03,17.9,-62.8333,5208,6,,,,52685.88770864947,,,0.1152073732718894,652,BLM,,,153,0
Saint Pierre and Miquelon,France,2022-08-28 08:33:03,46.8852,-56.3159,3131,1,,,,54029.335634167386,,,0.0319386777387416,666,SPM,,,48,0
St Martin,France,2022-08-28 08:33:03,18.0708,-63.0501,11857,63,,,,30670.73643912155,,,0.5313317027915999,663,MAF,,,322,0
Wallis and Futuna,France,2022-08-28 08:33:03,-14.2938,-178.1165,761,7,,,,4977.434757014848,,,0.9198423127463864,876,WLF,,,0,0
Baden-Wurttemberg,Germany,2022-08-28 08:33:03,48.6616,9.3501,4376754,16901,,,,39419.4096159044,,,0.3861537568709596,27601,DEU,,,134511,294
Bayern,Germany,2022-08-28 08:33:03,48.7904,11.4979,5823864,25379,,,,44321.02657931019,,,0.4357759727905734,27602,DEU,,,171986,486
